Unit,Mu,Sigma,Tau,Peak,rho
80,0.137124589849137,0.0442507297258134,0.19356430673954,0.0152946884343025,0.891811568675238
81,0.144191653203628,0.0251599617474458,0.202313112597155,0.00680984243633523,0.994703832142485
82,0.373519299222768,0.0620176701798227,0.0924807013571609,0.00421538545069576,0.529220721259844
83,1.13791862697507,0.001,3.63962951160827,-0.00172280371108841,0.999747664482429
88,0.190072248506616,0.0140151023507459,0.122869509737509,0.00572973416537483,0.904034010182571
91,0.138474832026196,0.00100052714275834,0.496057731333597,0.00312998098180104,0.928477895120651
92,0.159587246919668,0.0190410773511393,0.0217601184909278,0.0193029142430183,0.965056793612314
94,0.114643786413227,0.0481744917024556,0.272976654827916,0.00373100303358323,0.677956451916228
99,0.150574397342086,0.001,0.44893913320617,0.00327336983989356,0.83453965739999
100,0.131028327720287,0.00175822313710052,0.154819743163806,0.0052477265916747,0.946447345325416
101,0.166056663267324,0.0215826813326296,0.102098698486484,0.0182657134057052,0.961740038684698
104,0.132994711017468,0.0265722382624109,0.644011221209625,0.00336324944598049,0.814253803985724
105,0.134730901985519,0.001,0.171480380509628,0.00267405432935189,0.429463726856611
112,0.0999286780566302,0.240293088561745,0.268446304856714,0.00624965365407646,0.754636563189987
113,0.115666289436238,0.001,0.170333366904793,0.00301652404060248,0.722560693873085
125,0.157372271330784,0.00100000077880666,1.13148939225947,0.00407330073174401,0.823196449556201
134,0.164934046439681,0.001,0.195783833143322,0.00236842205611214,0.957655880308258
136,0.166596984685356,0.001,1.18899277974482,0.00125886536957604,0.776056650539715
137,0.117261875065617,0.0176369533144861,0.0951550376721257,0.0094069050187587,0.952500905281004
138,0.147054360839563,0.0379928859969104,0.01,0.0557143710880976,0.989426328073088
140,0.370021269206683,0.001,0.107427966657281,0.0060950846078239,0.411164732516052
141,0.146521528992141,0.00100000264525635,0.0951982920151588,0.00890938016341495,0.712056244179418
143,0.147479407086748,0.0173935299465115,0.133997418614859,0.00869500678615591,0.959190835455635
